SHOW_GUIDE_TITLE,DATE,START_TIME,END_TIME,LOCATION,CATEGORY,PRESENT_IN_STAGING,STAGING_TITLE,STAGING_TIME,STAGING_LOCATION,MATCH,RECOMMENDED_ACTION,CONFIDENCE
Adam Cousins,2026-09-22,7:00 PM,10:00 PM,The Bruce RV Park,The Bruce RV Park - Nightly Entertainment,yes,Adam Cousins,7:00 PM–10:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,conflict,LOCATION CONFLICT: Guide 'The Bruce RV Park' vs staging 'CKNX Centennial Pavilion (GFO Stage) Lounge'. Prefer Guide physical venue (Bruce RV Park ≠ CKNX Lounge).,HIGH
Trucks and Tractors Parade,2026-09-23,11:00 AM,,Parade route (Guide does not specify assembly point),Parade Week,yes,Trucks and Tractors Parade,11:00 AM,Parade route coming soon,exact,No change,HIGH
PJ Mack & Gord Cottrill,2026-09-23,10:30 AM,12:30 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,PJ Mack & Gord Cottrill,10:30 AM–12:30 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Dennis Bushell,2026-09-23,1:00 PM,2:30 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Dennis Bushell,1:00 PM–2:30 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Bernie Hale,2026-09-23,3:00 PM,5:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Bernie Hale,3:00 PM–5:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Dave & The Retros,2026-09-23,10:30 AM,12:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Dave & The Retros,10:30 AM–12:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Lisa McEwen,2026-09-23,12:30 PM,1:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Lisa McEwen,12:30 PM–1:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Blake Wilson,2026-09-23,2:00 PM,3:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Blake Wilson,2:00 PM–3:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Armow Grinders,2026-09-23,3:30 PM,5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Armow Grinders,3:30 PM–5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Tractors,2026-09-23,9:30 AM,,Plowing Fields,Plowing,yes,Tractor Plowing,9:30 AM,Plowing Fields,exact,No change,HIGH
Horse Plowing,2026-09-23,10:00 AM,,Plowing Fields,Plowing,yes,Horse Plowing,10:00 AM,Plowing Fields,exact,No change,HIGH
Tractors,2026-09-23,11:00 AM,,Plowing Fields,Plowing,yes,Tractor Plowing,11:00 AM,Plowing Fields,exact,No change,HIGH
Gregglea Clydesdales,2026-09-23,10:30 AM,,RAM Truck Corral,RAM Truck Corral,yes,Gregglea Clydesdales,10:30 AM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-23,11:00 AM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,11:00 AM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-23,3:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,3:00 PM,RAM Truck Corral,exact,No change,HIGH
Start of Day Movement - Freezer Fitness,2026-09-23,10:00 AM,10:15 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Start of Day Movement - Freezer Fitness,10:00 AM–10:15 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Essential Wellness,2026-09-23,10:15 AM,10:45 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Liza Weltz — Essential Wellness,10:15 AM–10:45 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Doula Panel,2026-09-23,10:45 AM,11:15 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,"Doula Panel — Rachel Stroeder, Katie Franklin & Madison Kittel",10:45 AM–11:15 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Susan Seitz Art Studio,2026-09-23,11:15 AM,11:45 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Susan Seitz — Susan Seitz Studio | Creative Circle,11:15 AM–11:45 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Energy in the Home,2026-09-23,12:00 PM,12:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,The Maven Project — Ruth Montgomery,12:00 PM–12:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Enjo,2026-09-23,12:30 PM,1:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,"Laurie Convay, ENJO Canada",12:30 PM–1:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Upstage Design,2026-09-23,1:00 PM,1:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,"Angela Wainscott, Upstaged Design",1:00 PM–1:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Willow Home - Furniture Refresh,2026-09-23,1:45 PM,2:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,"Heather Stark, Willow Home",1:45 PM–2:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Cody's Egg Shack,2026-09-23,2:30 PM,3:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Cody's Egg Shack,2:30 PM–3:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Lake Huron Home,2026-09-23,3:00 PM,3:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,"Sadie Al, Lake Huron Home",3:00 PM–3:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
J&H Women's Fashions,2026-09-23,3:30 PM,4:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,J&H Women's Fashions,3:30 PM–4:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Flossy May,2026-09-23,4:00 PM,4:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Flossie Mae,4:00 PM–4:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Mary Kay,2026-09-23,4:30 PM,4:55 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Mary Kay (Cheryl McNair),4:30 PM–4:55 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Makeover Reveal!,2026-09-23,4:55 PM,5:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Makeover Reveal!,4:55 PM–5:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Great Canadian Lumberjack Show,2026-09-23,10:30 AM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,10:30 AM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-23,1:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,1:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-23,3:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,3:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Lawn Mower Races (to be confirmed),2026-09-23,9:30 AM,,Event Centre #1 — West 2,Event Centre #1,no,,,,missing,Guide TBC item absent from staging — confirm with organizers before adding; do not invent.,MEDIUM
Foxton Fuels Farmall Square Dancing Tractors,2026-09-23,12:00 PM,,Event Centre #1 — West 2,Event Centre #1,yes,Foxton Fuels Farmall Square Dancing Tractors,12:00 PM,Event Centre #1 — West 2,exact,No change,HIGH
Foxton Fuels Farmall Square Dancing Tractors,2026-09-23,1:30 PM,,Event Centre #1 — West 2,Event Centre #1,yes,Foxton Fuels Farmall Square Dancing Tractors,1:30 PM,Event Centre #1 — West 2,exact,No change,HIGH
Lawn Mower Races (to be confirmed),2026-09-23,3:30 PM,,Event Centre #1 — West 2,Event Centre #1,no,,,,missing,Guide TBC item absent from staging — confirm with organizers before adding; do not invent.,MEDIUM
Colt McLauchlin,2026-09-23,7:00 PM,10:00 PM,The Bruce RV Park,The Bruce RV Park - Nightly Entertainment,yes,Colt McLauchlin,7:00 PM–10:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,conflict,LOCATION CONFLICT: Guide 'The Bruce RV Park' vs staging 'CKNX Centennial Pavilion (GFO Stage) Lounge'. Prefer Guide physical venue (Bruce RV Park ≠ CKNX Lounge).,HIGH
Children's Parade,2026-09-24,11:00 AM,,Parade route (Guide does not specify assembly point),Parade Week,yes,Children’s Parade,11:00 AM,Parade route coming soon,exact,No change,HIGH
Evelyn Koebel,2026-09-24,10:30 AM,11:30 AM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Ivelyn Koebel,10:30 AM–11:30 AM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Mudmen,2026-09-24,12:00 PM,2:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Mudmen,12:00 PM–2:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Owen Sound Step Dancers Club,2026-09-24,2:30 PM,3:30 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Owen Sound Step Dancers Club,2:30 PM–3:30 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Jammin' North,2026-09-24,4:00 PM,5:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Jammin’ North,4:00 PM–5:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Andrew McVeety,2026-09-24,10:30 AM,12:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Andrew McVeety,10:30 AM–12:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Naomi Bristow,2026-09-24,1:00 PM,3:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Naomi Bristow,1:00 PM–3:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Chicken Jockey,2026-09-24,4:00 PM,5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Chicken Jockey,4:00 PM–5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Tractors,2026-09-24,9:30 AM,,Plowing Fields,Plowing,yes,Tractor Plowing,9:30 AM,Plowing Fields,exact,No change,HIGH
Horse Plowing,2026-09-24,10:00 AM,,Plowing Fields,Plowing,yes,Horse Plowing,10:00 AM,Plowing Fields,exact,No change,HIGH
Tractors,2026-09-24,11:00 AM,,Plowing Fields,Plowing,yes,Tractor Plowing,11:00 AM,Plowing Fields,exact,No change,HIGH
Queen of the Furrow Plowing Competition,2026-09-24,2:30 PM,,Plowing Fields,Plowing,yes,Queen of the Furrow Plowing Competition,2:30 PM,Plowing Fields,exact,No change,HIGH
Gregglea Clydesdales,2026-09-24,10:30 AM,,RAM Truck Corral,RAM Truck Corral,yes,Gregglea Clydesdales,10:30 AM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-24,11:00 AM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,11:00 AM,RAM Truck Corral,exact,No change,HIGH
RAM Rodeo,2026-09-24,12:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,RAM Rodeo,12:00 PM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-24,2:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,2:00 PM,RAM Truck Corral,exact,No change,HIGH
RAM Rodeo,2026-09-24,3:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,RAM Rodeo,3:00 PM,RAM Truck Corral,exact,No change,HIGH
Start of Day Movement - Definition Fitness,2026-09-24,10:00 AM,10:15 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Christie Thomson — Definition Fitness,10:00 AM–10:15 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Pure Elegance Bridal,2026-09-24,10:15 AM,10:45 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Pure Elegance Bridal,10:15 AM–10:45 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
His Style,2026-09-24,10:45 AM,11:15 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,His Style,10:45 AM–11:15 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Elgin Jewelers,2026-09-24,11:15 AM,11:40 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Elgin Jewelers,11:15 AM–11:40 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Makeover Reveal!,2026-09-24,11:40 AM,11:45 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Makeover Reveal!,11:40 AM–11:45 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Naturally Well by Hannah,2026-09-24,12:00 PM,12:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Hannah Greig — Naturally Well by Hannah,12:00 PM–12:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Re:mind Spa & Apothecary,2026-09-24,12:30 PM,1:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Re:mind Spa & Apothecary,12:30 PM–1:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Soul Purpose Reiki,2026-09-24,1:00 PM,1:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Ashley Grant — Soul Purpose Reiki,1:00 PM–1:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
The Feeling of Home,2026-09-24,1:30 PM,2:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,The Feeling of Home - Designing Beyond the Trend - Panel Discussion,1:30 PM–2:15 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
The Maven Project,2026-09-24,2:15 PM,2:45 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,The Maven Project — Ruth Montgomery,2:15 PM–2:45 PM,The Beyond Wireless Stage,partial,Title/time soft-diff; staging sub-stage location OK (more precise than Guide MNP tent).,MEDIUM
Southampton Olive Oil,2026-09-24,2:45 PM,3:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,no,,,,missing,Guide Southampton Olive Oil Thu 2:45–3:15 not a discrete staging title (workbook described under Food and Drink; Essentially Lavender occupies 2:45–3:30). Reconcile.,MEDIUM
Essentially Lavender,2026-09-24,3:15 PM,3:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Essentially Lavender,2:45 PM–3:30 PM,The Beyond Wireless Stage,conflict,TIME CONFLICT: Guide 3:15 PM–3:30 PM vs staging 2:45 PM–3:30 PM. Prefer Show Guide unless newer revised entertainment PDF documents staging times.,HIGH
MNP: Planning for a Successful Transition,2026-09-24,3:30 PM,4:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,MNP Panel Discussion: Planning for a Successful Transition,3:30 PM–4:15 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Greenock Collective - All things Canning,2026-09-24,4:15 PM,5:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Carrick Farm Market - All things Canning,4:15 PM–5:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Great Canadian Lumberjack Show,2026-09-24,10:30 AM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,10:30 AM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-24,1:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,1:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-24,3:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,3:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
